ID,SN,lng,lat
NSSFHN00317,7M30HN,113.988802,22.595146
NSSFHN00318,9L13KJ,113.9892426,22.5960598
NSSFHN00319,AD9C01,113.9901428,22.59610176
NSSFHN00320,203SPV,113.9909897,22.59617233
NSSFHN00321,5Q48DB,113.9919815,22.59630394
NSSFHN00322,92W7HP,113.9932098,22.59652519
NSSFHN00323,8JP7W3,113.9948196,22.59776878
NSSFHN00324,143LCQ,113.9968033,22.59841728
NSSFHN00325,Y8R00P,113.9968948,22.59778214
NSSFHN00327,8V4SP4,114.0121384,22.60269928
NSSFHN00328,RBD281,114.0109024,22.60195351
NSSFHN00329,63C1LH,114.0098267,22.6012516
NSSFHN00330,K74R4N,114.0088425,22.60062599
NSSFHN00331,33Z2HJ,114.0080795,22.60011864
NSSFHN00332,892NJP,114.0073624,22.59966087
NSSFHN00333,63P4PP,114.0062103,22.59890175
NSSFHN00334,4KFX45,114.0054703,22.59852982
NSSFHN00335,0SA2W7,114.0044098,22.59834671
NSSFHN00336,3MCJ06,114.0034103,22.59839249
NSSFHN00337,S9MY05,114.002182,22.59848213
NSSFHN00338,B41ZX2,114.0011978,22.59852028
NSSFHN00339,ZW9J08,114.0000839,22.59850693
NSSFHN00340,00F7WS,113.9982147,22.60013771
NSSFHN00341,R953EY,113.9984818,22.60080528
NSSFHN00342,T60AT5,113.9987793,22.60168648
NSSFHN00343,F80X9N,113.9987564,22.60217476
NSSFHN00344,0YUQ93,113.995636,22.60317421
NSSFHN00345,784FDT,113.9954224,22.60257149
NSSFHN00346,UZD727,113.995018,22.60057449
NSSFHN00347,PG0Y72,113.9708405,22.59650421
NSSFHN00348,P42UU2,113.9708023,22.59743309
NSSFHN00349,2SZA53,113.9706116,22.59738541
NSSFHN00350,718VUY,113.9692612,22.5924778
NSSFHN00351,R445FM,113.9703217,22.59251213
NSSFHN00352,J2M7X0,113.9706345,22.59513283
NSSFHN00353,28D8LM,113.970047,22.5998497
NSSFHN00354,6M8ZS3,113.9701309,22.59908295
NSSFHN00355,PKG869,113.9715958,22.60233307
NSSFHN00356,G190LB,113.9726105,22.60168839
NSSFHN00357,P8PK56,113.9078445,22.53958893
NSSFHN00358,5EUM72,113.972229,22.60191917
NSSFHN00359,66THF0,113.9739685,22.60148239
NSSFHN00360,27XX8F,113.9732971,22.60149956
NSSFHN00361,45EVE4,113.9747314,22.60266304
NSSFHN00362,WDJ962,113.9753189,22.60268784
NSSFHN00363,295KBZ,113.9702072,22.60051727
NSSFHN00364,308NCC,113.9700699,22.60033607
NSSFHN00365,P413CS,113.9694366,22.59925652
NSSFHN00366,MJ527L,113.9690399,22.5987072
NSSFHN00367,9N06UH,113.9681854,22.59784508
NSSFHN00368,X8Q34J,113.9673691,22.59721947
NSSFHN00369,R903QW,113.965538,22.59581566
NSSFHN00370,5H86PJ,113.9639053,22.59455109
NSSFHN00371,8T01RD,113.9627686,22.59399986
NSSFHN00372,6ZDM01,113.9010773,22.54199982
NSSFHN00373,2L28VQ,113.9642487,22.59453964
NSSFHN00374,3J01QM,113.9021072,22.54231262
NSSFHN00375,PAG854,113.9646912,22.59487915
NSSFHN00376,94Q9JB,113.9006348,22.54320908
NSSFHN00377,K5WW55,113.9658203,22.59573555
NSSFHN00378,S6YY56,113.9004745,22.54366493
NSSFHN00379,LNS125,113.9669342,22.59654808
NSSFHN00380,0HQ72P,113.9006042,22.54336929
NSSFHN00381,B556MQ,113.9013367,22.54331207
NSSFHN00382,77SYW4,113.9676971,22.59716988
NSSFHN00383,39DJ2T,113.9682617,22.59766769
NSSFHN00384,316SEA,113.9663925,22.59645462
NSSFHN00385,R6E6M5,113.9085693,22.53801346
NSSFHN00386,3T0ZR8,113.9613266,22.58776855
NSSFHN00387,Z7PH82,113.9615707,22.59089088
NSSFHN00388,ZWG088,113.9616547,22.59219742
NSSFHN00389,2QQF54,113.9611588,22.59342384
NSSFHN00390,4J41JU,113.9613953,22.59205818
NSSFHN00391,0F29AS,113.9613266,22.59099579
NSSFHN00392,49TBW0,113.9611969,22.59006882
NSSFHN00393,QBT781,113.9913025,22.62705994
NSSFHN00394,J9JM43,113.9840393,22.62794685
NSSFHN00395,333PAK,113.9505768,22.59003448
NSSFHN00396,D932AZ,113.9507751,22.59140015
NSSFHN00397,FF2V61,113.9822311,22.62704468
NSSFHN00398,S282RL,113.9818192,22.62715149
NSSFHN00399,4MB3X1,113.950943,22.59227753
NSSFHN00400,P439YP,113.9515228,22.59439087
NSSFHN00401,Q095NR,113.9818192,22.62715149
NSSFHN00402,ZU3Y85,113.9518051,22.59578896
